,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
0,1,21750000003,299000.0,0.0,29.746140000000004,-95.36986999999999,0.0405,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2009-10-13,4743,101912110,Elementary,75,1,6
1,3,21750000018,296400.0,0.0,29.746190000000002,-95.36995999999999,0.0348,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-06-29,4743,101912110,Elementary,75,1,6
2,15532,1215300010001,331080.0,0.0,29.7453,-95.36882,0.0413,77002,8400.07,1924.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2017-06-28,4743,101912110,Elementary,75,1,6
3,15533,1215300010002,287800.0,-14.717081771442965,29.74525,-95.36874,0.0352,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-23,4743,101912110,Elementary,75,1,6
4,15534,1215300010003,299000.0,0.0,29.7452,-95.36861999999999,0.048,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-09,4743,101912110,Elementary,75,1,6
5,15535,1215300010004,394554.0,0.0,29.745079999999998,-95.36864,0.0397,77002,8400.07,2541.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2003-08-15,4743,101912110,Elementary,75,1,6
6,15536,1215300010005,350273.0,0.0,29.745240000000003,-95.36842,0.0356,77002,8400.07,2149.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2005-05-14,4743,101912110,Elementary,75,1,6
7,15537,1215300010006,351153.0,0.4789987381216039,29.74522,-95.36832,0.0329,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-04-26,4743,101912110,Elementary,75,1,6
8,15538,1215300010007,345000.0,0.0,29.74517,-95.36824,0.0398,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-30,4743,101912110,Elementary,75,1,6
9,15539,1215300010008,333000.0,0.0,29.74512,-95.36815,0.0349,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-25,4743,101912110,Elementary,75,1,6
10,15540,1215300010009,356327.0,0.0,29.74512,-95.36845,0.0382,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-03-08,4743,101912110,Elementary,75,1,6
11,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912110,Elementary,75,1,6
12,15542,1215300010011,316700.0,-1.145241892942201,29.74502,-95.36825999999999,0.0613,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-05-14,4743,101912110,Elementary,75,1,6
13,15543,1215300010012,308000.0,0.0,29.74489,-95.36833,0.0407,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-04-14,4743,101912110,Elementary,75,1,6
14,15544,1215300010013,303029.0,0.0,29.744940000000003,-95.36842,0.0357,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2002-01-01,4743,101912110,Elementary,75,1,6
15,15545,1215300010014,306000.0,-7.2727272727272725,29.74499,-95.36851,0.0343,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-08-25,4743,101912110,Elementary,75,1,6
16,15546,1215300010015,326185.0,0.0,29.74505,-95.36856,0.0364,77002,8400.07,2438.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-07-12,4743,101912110,Elementary,75,1,6
17,15547,1215300010016,284000.0,-19.087858050473223,29.74512,-95.36876,0.038,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-10-17,4743,101912110,Elementary,75,1,6
18,15548,1215300010017,354999.0,0.0,29.74519,-95.36888,0.0427,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2015-07-07,4743,101912110,Elementary,75,1,6
19,1,21750000003,299000.0,0.0,29.746140000000004,-95.36986999999999,0.0405,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2009-10-13,4743,101912467,Middle,85,1,6
20,3,21750000018,296400.0,0.0,29.746190000000002,-95.36995999999999,0.0348,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-06-29,4743,101912467,Middle,85,1,6
21,15532,1215300010001,331080.0,0.0,29.7453,-95.36882,0.0413,77002,8400.07,1924.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2017-06-28,4743,101912467,Middle,85,1,6
22,15533,1215300010002,287800.0,-14.717081771442965,29.74525,-95.36874,0.0352,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-23,4743,101912467,Middle,85,1,6
23,15534,1215300010003,299000.0,0.0,29.7452,-95.36861999999999,0.048,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-09,4743,101912467,Middle,85,1,6
24,15535,1215300010004,394554.0,0.0,29.745079999999998,-95.36864,0.0397,77002,8400.07,2541.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2003-08-15,4743,101912467,Middle,85,1,6
25,15536,1215300010005,350273.0,0.0,29.745240000000003,-95.36842,0.0356,77002,8400.07,2149.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2005-05-14,4743,101912467,Middle,85,1,6
26,15537,1215300010006,351153.0,0.4789987381216039,29.74522,-95.36832,0.0329,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-04-26,4743,101912467,Middle,85,1,6
27,15538,1215300010007,345000.0,0.0,29.74517,-95.36824,0.0398,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-30,4743,101912467,Middle,85,1,6
28,15539,1215300010008,333000.0,0.0,29.74512,-95.36815,0.0349,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-25,4743,101912467,Middle,85,1,6
29,15540,1215300010009,356327.0,0.0,29.74512,-95.36845,0.0382,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-03-08,4743,101912467,Middle,85,1,6
30,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912467,Middle,85,1,6
31,15542,1215300010011,316700.0,-1.145241892942201,29.74502,-95.36825999999999,0.0613,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-05-14,4743,101912467,Middle,85,1,6
32,15543,1215300010012,308000.0,0.0,29.74489,-95.36833,0.0407,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-04-14,4743,101912467,Middle,85,1,6
33,15544,1215300010013,303029.0,0.0,29.744940000000003,-95.36842,0.0357,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2002-01-01,4743,101912467,Middle,85,1,6
34,15545,1215300010014,306000.0,-7.2727272727272725,29.74499,-95.36851,0.0343,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-08-25,4743,101912467,Middle,85,1,6
35,15546,1215300010015,326185.0,0.0,29.74505,-95.36856,0.0364,77002,8400.07,2438.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-07-12,4743,101912467,Middle,85,1,6
36,15547,1215300010016,284000.0,-19.087858050473223,29.74512,-95.36876,0.038,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-10-17,4743,101912467,Middle,85,1,6
37,15548,1215300010017,354999.0,0.0,29.74519,-95.36888,0.0427,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2015-07-07,4743,101912467,Middle,85,1,6
38,1,21750000003,299000.0,0.0,29.746140000000004,-95.36986999999999,0.0405,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2009-10-13,4743,101912025,High,95,1,6
39,3,21750000018,296400.0,0.0,29.746190000000002,-95.36995999999999,0.0348,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-06-29,4743,101912025,High,95,1,6
40,4,21750000019,299803.0,0.0,29.746240000000004,-95.37004,0.0395,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2001-01-01,4743,101912025,High,95,1,6
41,15532,1215300010001,331080.0,0.0,29.7453,-95.36882,0.0413,77002,8400.07,1924.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2017-06-28,4743,101912025,High,95,1,6
42,15533,1215300010002,287800.0,-14.717081771442965,29.74525,-95.36874,0.0352,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-23,4743,101912025,High,95,1,6
43,15534,1215300010003,299000.0,0.0,29.7452,-95.36861999999999,0.048,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-09,4743,101912025,High,95,1,6
44,15535,1215300010004,394554.0,0.0,29.745079999999998,-95.36864,0.0397,77002,8400.07,2541.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2003-08-15,4743,101912025,High,95,1,6
45,15536,1215300010005,350273.0,0.0,29.745240000000003,-95.36842,0.0356,77002,8400.07,2149.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2005-05-14,4743,101912025,High,95,1,6
46,15537,1215300010006,351153.0,0.4789987381216039,29.74522,-95.36832,0.0329,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-04-26,4743,101912025,High,95,1,6
47,15538,1215300010007,345000.0,0.0,29.74517,-95.36824,0.0398,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-30,4743,101912025,High,95,1,6
48,15539,1215300010008,333000.0,0.0,29.74512,-95.36815,0.0349,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-25,4743,101912025,High,95,1,6
49,15540,1215300010009,356327.0,0.0,29.74512,-95.36845,0.0382,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-03-08,4743,101912025,High,95,1,6
50,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912025,High,95,1,6
51,15542,1215300010011,316700.0,-1.145241892942201,29.74502,-95.36825999999999,0.0613,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-05-14,4743,101912025,High,95,1,6
52,15543,1215300010012,308000.0,0.0,29.74489,-95.36833,0.0407,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-04-14,4743,101912025,High,95,1,6
